https://docs.blockscout.com/about/projects
(...plus chains.json...)

> means not in chainlist or sourcify's chains.json
~ means conflicts with something in such
% means bad cert (didn't note this if went in unknown networks bucket)

known networks:
chainID	name			networkID	url
5001	mantle testnet		5001		explorer.testnet.mantle.xyz
280	zksync era goerli	280		zksync2-testnet.zkscan.io
~9999	peaq agung		9999		scout.agung.peaq.network
943	pulsechain testnet v4	943		scan.v4.testnet.pulsechain.com
4918	venidium testnet	4918		evm-testnet.venidiumexplorer.com
88880	chiliz scoville		88880		scoville-explorer.chiliz.com
647	sx toronto		647		explorer.toronto.sx.technology
1662	horizen yuma		1662		yuma-explorer.horizen.io
5758	satoshichain 		5758		satoshiscan.io
>7649	lamina1 testnet		7649		testnet-explorer.lamina1.global

unknown networks:
name			url					chain	net
optimism bedrock beta	blockscout.com/optimism/bedrock-beta	???	???
optimism opcraft	blockscout.com/optimism/opcraft		???	???	
chiliz mainnet		explorer.chiliz.com			???	???
polygon edge		explorer-edgenet.polygon.technology	???	???
poochain		blockscout.pooscan.co:4000		???	???
chainers		explorer.chainers.io			???	???
techpay testnet		test.tpcscan.com			>2479	???
loom basechain		basechain-blockexplorer.dappchains.com	???	???
findora QA01		dev-qa01-blockscout.dev.findora.org	???	???
lacchain		explorer.lacchain.net			???	???
token x			scan.tokenx.finance			???	???
token x bangsue		bangsue-scan.tokenx.finance		???	???
myvee			myveescan.com				???	???
qiyihuo			explorer.qiyihuo.com			~10001?	???
futurefi		fufiscan.com				???	???
peopledc violin		violins.peopledc.cn			???	???
keeex			blk.keeex.me				???	???
global digital cluster coin	www.gdccscan.io			???	???
mitgate			explorer.mitgate.com			???	???
lachain devnet		scan-dev.lachain.io			???	???
horizen dune		dune-explorer.horizen.io		>1661	???
numblock testnet	testnet.numblock.org			???	???
